AMONKHET TILE PUZZLES

Magic: The Gathering art references

IN GAME		| CARD NAME			| ARTIST NAME
________________|_______________________________|__________________________
Background 1	| Packaging Art			| Aleksi Briclot
Background 2	| Daze				| Richard Wright
Puzzle 1	| Lord of the Accursed		| Grzegorz Rutkowski
Puzzle 2	| Tinybones, Trinket Thief	| Jason Rainville
Puzzle 3	| Forest			| Titus Lunter
Puzzle 4	| Archfiend of Ifnir		| Seb McKinnon
Puzzle 5	| Glorybringer			| Sam Burley
Puzzle 6	| Kefnet the Mindful		| Chase Stone
Puzzle 7	| Mighty Leap			| Sidharth Chaturvedi
Puzzle 8	| Oketra the True		| Chase Stone
Puzzle 9	| Mountain			| Florian de Gesincourt

